Month,Market Average Occupancy,Market Average ADR,Market Average RevPAR,Luxury Occupancy,Luxury ADR,Luxury RevPAR,Upper Upscale Occupancy,Upper Upscale ADR,Upper Upscale RevPAR,Upscale Occupancy,Upscale ADR,Upscale RevPAR,Upper Midscale Occupancy,Upper Midscale ADR,Upper Midscale RevPAR,Upper Manhattan Occupancy,Upper Manhattan ADR,Upper Manhattan RevPAR
22-Dec,74.5,313.76,233.71,68,576.52,391.78,71.8,302.34,217.17,80.1,239.36,191.77,77.6,220.53,171.19,52.5,460.44,241.64
23-Jan,66,212.7,140.32,58,391.81,227.06,62.9,204.11,128.3,72.8,156.48,113.85,72.1,148.5,107.11,55.2,357.74,197.53
23-Feb,70.3,214.88,151.1,61.2,401.48,245.64,67,204.76,137.28,77.7,155.12,120.46,77.8,150.48,117.06,60,347.12,208.24
23-Mar,79.3,263.87,209.2,71.1,442.18,314.36,80.7,255.85,206.46,84.3,205.44,173.26,82,189.62,155.58,71,380.43,270.1
23-Apr,82.6,315.14,260.17,75.2,515.99,387.78,83,290.77,241.2,87.8,255.96,224.81,84.2,235.93,198.57,77.9,475.85,370.88
23-May,84.2,344.58,290.06,76.1,562.77,428.25,84.4,318.71,268.95,89.6,277.53,248.64,86.8,257.48,223.51,80.6,524.05,422.32
23-Jun,84.9,324.47,275.63,77,521.91,401.68,85.5,302.89,258.99,89.8,263.3,236.35,88.3,243.15,214.61,79.4,469.83,372.93
23-Jul,83.9,328.28,275.41,76.1,533.95,406.19,84.3,304.29,256.45,89.1,265.78,236.73,86.4,245.62,212.2,79.3,490.34,388.82
23-Aug,90.55,353.87,309.85,79.07,556.13,433.39,87.9,320.3,276.2,91,280.57,255.52,89.2,258.59,230.57,80.8,512.11,413.73
23-Sep,97.2,379.45,344.29,82.05,578.31,460.59,91.5,336.32,295.95,92.9,295.36,274.31,92,271.56,249.94,82.3,533.88,439.64
23-Oct,103.85,405.03,378.73,85.03,600.48,487.78,95.1,352.33,315.69,94.8,310.15,293.1,94.8,284.53,269.31,83.8,555.65,465.55
23-Nov,110.5,430.62,413.17,88,622.66,514.98,98.7,368.34,335.44,96.7,324.94,311.89,97.6,297.5,288.68,85.3,577.42,491.46
